[Tea]
ProductID,ProductName,Price,Catalog
T001,Milk Tea,25.0,Tea
T002,Green Tea,25.0,Tea
T004,Black Tea,15.0,Tea
T005,Strawberry Tea,35.0,Tea
T006,ชาพีช,35.0,Tea
T007,ชาบลูเบอร์รี่,35.0,Tea

[Milk]
ProductID,ProductName,Price,Catalog
M001,นมสด,15.0,Milk
M002,นมชมพู,20.0,Milk
M003,โกโก้,20.0,Milk
M004,นมสตอร์เบอรี่,30.0,Milk
M005,โอวันติน,20.0,Milk

[Coffee]
ProductID,ProductName,Price,Catalog
C001,ลาเต้,40.0,Coffee
C002,มอคค่า,40.0,Coffee
C003,อเมริกาโน่,35.0,Coffee
C004,เอสเพรสโซ่,40.0,Coffee
C005,คาปูชิโน่,40.0,Coffee

